Warning_description,klngTrackID,strTrackTitle,strArtist,strAlbum,strRefTrCIMEB,datTrackLength,strFile,ysnVinyl
Null values in non-key columns. Record loaded into model: ,589,"Largo - Concerto 'La primavera' in Mi Maggiore - 2 (Le quattro stagioni op.8/1, RV 269)",,Le Quattro Stagioni (Europa Galante - Fabio Biondi),IBF-15-15,1899-12-30 00:02:46,"IBF15 - 15 - Vivaldi (Fabio Biondi - Europa Galante) - Largo - Concerto 'La primavera' in Mi Maggiore - 2 (Le quattro stagioni op.8-1, RV 269).mp3",False
Null values in non-key columns. Record loaded into model: ,591,"Adagio molto - Concerto 'L'autunno' in Fa Maggiore - 2 (Le quattro stagioni op.8/3, RV 293)",,Maestros de la música clásica - Antonio Vivaldi. Las Cuatro Estaciones,IBF-15-16,1899-12-30 00:02:17,"IBF15 - 16 - Vivaldi (The Royal Vivaldi Symphony) - Adagio molto - Concerto 'L'autunno' in Fa Maggiore - 2 (Le quattro stagioni op.8-3, RV 293).mp3",False
Null values in non-key columns. Record loaded into model: ,596,"Presto - Concerto 'L'estate' in sol minore - 3 (Le quattro stagioni Op.8/2, RV 315)",,Maestros de la música clásica - Antonio Vivaldi. Las Cuatro Estaciones,IBF-15-12,1899-12-30 00:03:01,"IBF15 - 12 - Vivaldi (The Royal Vivaldi Symphony) - Presto - Concerto 'L'estate' in sol minore - 3 (Le quattro stagioni Op.8-2, RV 315).mp3",False
Null values in non-key columns. Record loaded into model: ,703,"Andante - Sinfonia in Sol Maggiore 2, RV 149",,Relax with the classics: Vol.2,MMU-11-06,1899-12-30 00:02:14,"MMU11 - 06 - Vivaldi (Claudio Scimone - I Solisti Veneti) - Andante - Sinfonia in Sol Maggiore 2, RV 149.mp3",False
Null values in non-key columns. Record loaded into model: ,706,Allegro maestoso - Ballet Don Juan - 4,,Don Juan (Gardiner),IBF-18-15,1899-12-30 00:02:00,IBF18 - 15 - Gluck (John Eliot Gardiner - English Baroque Soloists) - Andante - Ballet Don Juan - 3.mp3,False
Null values in non-key columns. Record loaded into model: ,709,"Largo - Concerto in Re Maggiore per mandolino (liuto) - 2, RV 93",,Relax with the classics: Vol.2,MMU-11-08,1899-12-30 00:04:34,"MMU11 - 08 - Vivaldi (Claudio Scimone - I Solisti Veneti) - Largo - Concerto in Re Maggiore per mandolino (liuto) - 2, RV 93.mp3",False
Null values in non-key columns. Record loaded into model: ,711,"Adagio - Concerto a cinque per violino principale in Re Maggiore - 2, op.9-7",,12 Concertos op. 9,MMU-11-09,1899-12-30 00:04:40,"MMU11 - 09 - Albinoni (Claudio Scimone - I Solisti Veneti) - Adagio - Concerto a cinque per violino principale in Re Maggiore - 2, op.9-7.mp3",False
Null values in non-key columns. Record loaded into model: ,715,"Largo - Concerto per violino, archi e cembalo in Re Maggiore - 2, op 11/1 RV 207",,"Vivaldi - Concertos and Sonatas, opp.1-12",MMU-11-12,1899-12-30 00:02:27,"MMU11 - 12 - Vivaldi (Claudio Scimone - I Solisti Veneti) - Largo - Concerto per violino, archi e cembalo in Re Maggiore - 2, op 11-1 RV 207.mp3",False
Null values in non-key columns. Record loaded into model: ,716,"Adagio, allegro, adagio -  Concerto grosso in sol minore op.6/8 - 3 'Fatto per la notte di natale'",,Concerti grossi,MMU-11-13,1899-12-30 00:03:23,"MMU11 - 13 - Corelli (Claudio Scimone - I Solisti Veneti) - Adagio, allegro, adagio -  Concerto grosso in sol minore op.6-8 - 3 ''Fatto per la notte di natale''.mp3",False
Null values in non-key columns. Record loaded into model: ,721,"Andante cantabile (Serenade) - Streichquartett in F-Dur - 2, op. 3/5 HOB III:17",,Canon & Gigue (János Rolla),MMU-11-16,1899-12-30 00:04:29,"MMU11 - 16 - Haydn (János Rolla - Franz Liszt Chamber Orchestra) - Andante cantabile (Serenade) - Streichquartett in F-Dur - 2, op. 3-5 HOB III.17.mp3",False
Null values in non-key columns. Record loaded into model: ,770,"Largo - Prélude n°4 en mi mineur - 24 Préludes, op. 28","Chopin, Frédéric (1810-1849)",,MMU13-02,1899-12-30 00:02:21,"MMU13 - 02 - Chopin - Largo - Prélude n°4 en mi mineur - 24 Préludes, op. 28.mp3",False
Null values in non-key columns. Record loaded into model: ,789,"Adagio - Concerto Brandebourgeois 1 - 2,  F-Dur BWV 1046",,Bach: Brandenburgische Konzerte,IBF-09-19,1899-12-30 00:04:06,"IBF09 - 19 - Bach (Herbert Münchner - Südwest-Studioorchester) - Adagio - Concerto Brandebourgeois 1 - 2,  F-Dur BWV 1046.mp3",False
Null values in non-key columns. Record loaded into model: ,791,"Largo - Concerto in re minore - 2 (Il cimento dell'armonia e dell'inventione op.8/7, RV 242)",,"Vivaldi: Il Cimento dell' Armonia e dell' Inventione 12 Concertos, Op.8 - Le Quattro Stagioni",IBF-18-03,1899-12-30 00:02:12,"IBF18 - 03 - Vivaldi (Hogwood - Academy of Ancient Music) - Largo - Concerto in re minore - 2 (Il cimento dell'armonia e dell'inventione op.8-7, RV 242).mp3",False
Null values in non-key columns. Record loaded into model: ,793,"Presto - Concerto 'L'estate' in sol minore - 3 (Le quattro stagioni Op.8/2, RV 315)",,"Vivaldi: Il Cimento dell' Armonia e dell' Inventione 12 Concertos, Op.8 - Le Quattro Stagioni",MMU-13-19,1899-12-30 00:02:41,"MMU13 - 19 - Vivaldi (Christopher Hogwood - Academy of Ancient Music) - Presto - Concerto ''L'estate'' in sol minore - 3 (Le quattro stagioni Op.8-2, RV 315).mp3",False
Null values in non-key columns. Record loaded into model: ,877,The Mahabharata,OST The Mahabharata,,IBF-16-16,1899-12-30 00:03:38,IBF16 - 16 - OST The Mahabharata - [Real World].mp3,False
Null values in non-key columns. Record loaded into model: ,1152,Amarilli Mia Bella (Transcription flute guitar),,,HLB-05-11,1899-12-30 00:03:24,HLB05 - 11 - Caccini - Amarilli Mia Bella (Transcription flute guitar).mp3,False
Null values in non-key columns. Record loaded into model: ,1301,Ave Maria (Vocal Inessa Galante),,Debut (Inessa Galante),HLB-12-07,1899-12-30 00:05:56,HLB12 - 07 - Caccini (Inessa Galante - Alexander Vilumanis - Latvian National Symphony Orchestra) - Ave Maria.mp3,False
Null values in non-key columns. Record loaded into model: ,1356,"Adagio - Concerto in re minore per oboe, archi e BC - 2, SF 935",,Famous Oboe Concertos,IBF-17-18,1899-12-30 00:04:46,"IBF01 - 20 - Marcello, Alessandro (Heinz Holliger - Vittorio Negri - Mitglieder der Staatskapelle Dresden) - Adagio Concerto per oboe - 2, SF 935.mp3",False
Null values in non-key columns. Record loaded into model: ,1368,Wiegenlied op.49 n°4,"Brahms, Johannes (1833-1897)",,MMU-18-18,1899-12-30 00:04:13,MMU18 - 18 - Brahms - Wiegenlied op.49 n°4.mp3,False
Null values in non-key columns. Record loaded into model: ,1479,Vem ca Toinho (Ciranda no Patio),"Neri, Antonio",,IBF-05-23,1899-12-30 00:02:47,"IBF05 - 23 - Neri, Antonio  - Ciranda.mp3",False
Null values in non-key columns. Record loaded into model: ,1496,"Allegro - Concerto con 4 violino, Vc e archi in si minore - 4, op.3/10 RV 580",,Albinoni: Adagio - Pachelbel: Canon,MMU-19-16,1899-12-30 00:03:35,"MMU19 - 16 - Vivaldi (Orpheus Chamber Orchestra) - Allegro - Concerto con 4 violino, Vc e archi in si minore - 4, op.3-10 RV 580.mp3",False
Null values in non-key columns. Record loaded into model: ,1525,"Larghetto (Transcr for Flute-Organ) Violin sonata N° 13 D Major - 3, op.11 HWV 371",,Adagios Célèbres,IBF-09-18,1899-12-30 00:03:33,"IBF09 - 18 - Haendel (Gabriel Fumet - Jean-Paul Imbert) - Larghetto (Transcr for Flute-Organ) Violin sonata N° 13 D Major - 3, op.11 HWV 371.mp3",False
Null values in non-key columns. Record loaded into model: ,1530,"Largo - Concerto da camera in Re Maggiore RV 93 - 2 (per lute, 2 violini e BC)",,Vivaldi: Famous Concerti,IBF-18-16,1899-12-30 00:05:51,"IBF18 - 16 - Vivaldi (István Párkányi - Dall'Arco Chamber Orchestra) - Largo - Concerto da camera in Re Maggiore RV 93 - 2 (per lute, 2 violini e BC).mp3",False
Null values in non-key columns. Record loaded into model: ,1532,Theme From Summer Of '42 [2],"Legrand, Michel",,MMU-20-07,1899-12-30 00:03:01,"MMU20 - 07 - Legrand, Michel - Theme From Summer Of '42 [2].mp3",False
Null values in non-key columns. Record loaded into model: ,1664,"Allegro - Concerto 'L'Amoroso' per violono, archi e BC in Mi Maggiore - 1, RV 271",,Albinoni: Adagio / Corelli: Christmas Concerto / Vivaldi: l'Amoroso & Alla Rustica (Karajan),IBF-03-17,1899-12-30 00:04:18,"IBF03 - 17 - Vivaldi (Herbert von Karajan - Berliner Philharmoniker) - Allegro - Concerto L'Amoroso - 1, RV 271.mp3",False
Null values in non-key columns. Record loaded into model: ,1711,"Selig sind, die da leid tragen [Part] - Ein deutsches Requiem op.45 - 1","Brahms, Johannes (1833-1897)",,IBF-18-02,1899-12-30 00:04:29,"IBF18 - 02 - Brahms - Selig sind, die da leid tragen [Part] - Ein deutsches Requiem op.45 - 1.mp3",False
Null values in non-key columns. Record loaded into model: ,1728,Eh-la-Bas,Jazz Caliente,,IBF-06-21,1899-12-30 00:05:18,IBF06 - 21 - Jazz Caliente - Eh-la-Bas.mp3,False
Null values in non-key columns. Record loaded into model: ,2022,"Cum dederit suis somnum - Nisi Dominus in sol minore (Psalm 126), RV 608 - 4 (Andante)",,The Best of Andreas Scholl,HLB-16-16,1899-12-30 00:05:05,"HLB16 - 16 - Vivaldi (Andreas Scholl) - Cum dederit suis somnum - Nisi Dominus in sol minore (Psalm 126), RV 608 - 4 (Andante).mp3",False
Null values in non-key columns. Record loaded into model: ,2285,"Gloria in excelsis Deo (Trevor Pinnock) - Gloria in Re Maggiore - 1, RV 589",,Vivaldi: Gloria in D major RV 589 (Pinnock),IBF-17-19,1899-12-30 00:02:19,"IBF17 - 19 - Vivaldi (Trevor Pinnock - The English Concert & Choir) - Gloria in excelsis Deo - Gloria in RE Maggiore - 1, RV 589.mp3",False
Null values in non-key columns. Record loaded into model: ,2292,"Largo - Concerto 'La primavera' in Mi Maggiore - 2 (Le quattro stagioni op.8/1, RV 269)",,Maestros de la música clásica - Antonio Vivaldi. Las Cuatro Estaciones,MMU-08-01,1899-12-30 00:02:52,"MMU08 - 01 - Vivaldi (The Royal Vivaldi Symphony) - Largo - Concerto 'La primavera' in Mi Maggiore - 2 (Le quattro stagioni op.8-1, RV 269).mp3",False
Null values in non-key columns. Record loaded into model: ,3696,Hetu Koro,?,,IBFC-20-11,1899-12-30 00:03:12,IBFC20 - 11 - Koro.mp3,False
Null values in non-key columns. Record loaded into model: ,4057,Celta,?,,BA-53-02,1899-12-30 00:06:43,BA53 - 02 - Celta.mp3,False
Null values in non-key columns. Record loaded into model: ,4062,Aguas mansas,Mara,,BA-52-13,1899-12-30 00:07:03,BA52 - 13 - Mara - Aguas mansas.mp3,False
Null values in non-key columns. Record loaded into model: ,4073,Mantra (bruitage nature),?,,BA-51-13,1899-12-30 00:16:10,BA51 - 13 - Mantra (nature).mp3,False
Null values in non-key columns. Record loaded into model: ,4140,?,"Bovino, Paolo",,BA-46-01,1899-12-30 00:03:46,BA46 - 01 - Paolo Bovino.mp3,False
Null values in non-key columns. Record loaded into model: ,4217,?,Arabe-Belga,,BA-39-05,1899-12-30 00:05:06,BA39 - 05 - Arabe-Belga.mp3,False
Null values in non-key columns. Record loaded into model: ,4233,La Bomba,Axé Bahia,,BA-37-18,1899-12-30 00:03:13,BA37 - 18 - Axé Bahia - La Bomba.mp3,False
Null values in non-key columns. Record loaded into model: ,4242,"Allegro, I. Concerto en RE Maj pour trois violons (trans. du concerto BWV1064 en DO pour 3 clavecins)",,,BA-36-15,1899-12-30 00:06:11,"BA36 - 15 - Bach - Allegro, Concerto pour trois violons.mp3",False
Null values in non-key columns. Record loaded into model: ,4247,Alla Hai,"Ramzy, Hossam",,BA-36-06,1899-12-30 00:06:13,"BA36 - 06 - Ramzy, Hossam - Alla Hai.mp3",False
Null values in non-key columns. Record loaded into model: ,4260,California Somnolienta,"Maria, Rosa",,BA-34-06,1899-12-30 00:03:10,"BA34 - 06 - Maria, Rosa - California Somnolienta.mp3",False
Null values in non-key columns. Record loaded into model: ,4265,Relajación,"Kirlis, Mario",,BA-33-12,1899-12-30 00:12:53,"BA33 - 12 - Kirlis, Mario - Relajación.mp3",False
Null values in non-key columns. Record loaded into model: ,4320,"Largo - Concerto 'L'inverno' in fa minore -2 (Le quattro stagioni op.8/4, RV 297)",,Maestros de la música clásica - Antonio Vivaldi. Las Cuatro Estaciones,BA-25-11,1899-12-30 00:02:19,"BA25 - 11 - Vivaldi (The Royal Vivaldi Symphony) - Largo - Concerto 'L'inverno' in fa minore -2 (Le quattro stagioni op.8-4, RV 297).mp3",False
Null values in non-key columns. Record loaded into model: ,4327,Latidos del Corazon (Battements de coeur),?,,BA-24-05,1899-12-30 00:03:05,BA24 - 05 - Latidos del Corazon.mp3,False
Null values in non-key columns. Record loaded into model: ,4338,Sozinho,?,,BA-22-01,1899-12-30 00:04:28,BA22 - 01 - Sozinho.mp3,False
Null values in non-key columns. Record loaded into model: ,4345,Hallelujah,,Dann bricht der große Morgen an - die schönsten Chöre,BA-20-16,1899-12-30 00:04:16,BA20 - 16 - Haendel (London Festival Chor & Orchestra) - Hallelujah.mp3,False
Null values in non-key columns. Record loaded into model: ,4385,Ave Maria (Choral Version),"Gounod, Charles (1818-1893)",,BA-16-10,1899-12-30 00:03:06,"BA16 - 10 - Gounod, Charles - Ave Maria [Choral Version].mp3",False
Null values in non-key columns. Record loaded into model: ,4441,"Liebesträum n°3 [Piano & Orchestra] in As-Dur - Liebesträume, S.541 (Sueño de amor)","Liszt, Franz (1811-1886)",,BA-06-05,1899-12-30 00:04:18,"BA06 - 05 - Liszt, Franz - Liebesträum n°3 [Piano & Orchestra] in As-Dur - Liebesträume, S.541.mp3",False
Null values in non-key columns. Record loaded into model: ,4442,"Valse op. 69 n°2, transcription pour orchestre","Chopin, Frédéric (1810-1849)",,BA-06-03,1899-12-30 00:03:15,"BA06 - 03 - Chopin - Valse op. 69 n°2 , transcription pour orchestre.mp3",False
Null values in non-key columns. Record loaded into model: ,4448,Prelude in C Major WTK I/1 (Piano Darron Flagg),,OST Bagdad Café,BA-05-01,1899-12-30 00:02:36,BA05 - 01 - Bach (OST Bagdad Café) - Prelude in C Major WTK I-1 (Darron Flagg).mp3,False
Null values in non-key columns. Record loaded into model: ,4449,"An der schönen blauen Donau [Part], op.314","Strauss II, Johann (1825-1899)",,BA-04-09,1899-12-30 00:05:08,"BA04 - 09 - Strauss II, Johann - An der schönen blauen Donau [BA Part], op.314.mp3",False
Null values in non-key columns. Record loaded into model: ,5013,Nhinho Kanide,Kariri Xoxó,,HLBC-27-85,1899-12-30 00:03:24,HLBC27 - 85 - Kariri Xoxó - Nhinho Kanide.mp3,False
Null values in non-key columns. Record loaded into model: ,5217,"Largo - Concerto in Do Maggiore 2, RV 443 (per flautino, archi e BC)",,Vivaldi: The Flute Concertos,HLBC-27-48,1899-12-30 00:02:59,"HLBC27 - 48 - Vivaldi (Jean-Pierre Rampal - Claudio Scimone - I Solisti Veneti) - Largo - Concerto in Do Maggiore 2, RV 443 (per flautino, archi e BC).mp3",False
Null values in non-key columns. Record loaded into model: ,5218,Adagio - Concerto in d moll BWV 974 (transc. After Oboe concerto Alessandro Marcello),,Baroque Reflections (Alessio Bax),HLBC-27-49,1899-12-30 00:04:23,HLBC27 - 49 - Bach (Alessio Bax) - Adagio - Concerto in d moll BWV 974 (transc. After Oboe concerto Alessandro Marcello).mp3,False
Null values in non-key columns. Record loaded into model: ,6402,"Largo ma non tanto - Doppelkonzert für zwei Violinen und Orchester, D-Moll BWV 1043",,"Violinkonzerte BWV 1041, 1042, 1043",BA-29-14,1899-12-30 00:07:12,"BA29 - 14 - Bach (Eugen Duvier - Camerata Romana) - Largo ma non tanto - Doppelkonzert für zwei Violinen und Orchester, D-Moll BWV 1043.mp3",False
Null values in non-key columns. Record loaded into model: ,6831,Pavana,Musikantiga,,BA-36-12,1899-12-30 00:01:55,BA36 - 12 - Musikantiga - Pavana.mp3,False
